Line needed to mimic the original format
Code circo euro	Libelle circo euro	Nom elu	Prenom elu	Date naissance	Code sexe	Code profession	Libelle profession	Libelle mandat	Date debut mandat	Date fin mandat	Motif fin mandat	Nuance politique	ID RNE	ID Europe	ID universel
00	UNIQUE	AINARDI	Sylviane	19/12/1947	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	COM	NA	1133	EUR_0001133
00	UNIQUE	AUROI	Danielle	29/02/1944	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	372934	4386	RNE_0372934
00	UNIQUE	BAYROU	François	25/05/1951	M	NA	NA	Représentant au Parlement Européen	13/06/1999	16/06/2002	DV	UDF	935	4324	RNE_0000935
00	UNIQUE	BERÈS	Pervenche	10/03/1957	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	1501533	1985	RNE_1501533
00	UNIQUE	BERNIÉ	Jean-Louis	22/08/1953	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	CPNT	NA	4416	EUR_0004416
00	UNIQUE	BERTHU	Georges	14/05/1950	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	9	2217	RNE_0000009
00	UNIQUE	BORDES	Armonia	03/05/1945	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	LO	NA	4406	EUR_0004406
00	UNIQUE	BOUDJENAH	Yasmine	21/12/1970	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	COM	11	4355	RNE_0000011
00	UNIQUE	BOUMEDIENE-THIERY	Alima	24/07/1956	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	837927	4388	RNE_0837927
00	UNIQUE	BOURLANGES	Jean-Louis	13/07/1946	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	1519893	1026	RNE_1519893
00	UNIQUE	BUTEL	Yves	01/11/1948	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	CPNT	14	4414	RNE_0000014
00	UNIQUE	CARLOTTI	Marie-Arlette	21/01/1952	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	15	2031	RNE_0000015
00	UNIQUE	CAUDRON	Gérard	27/02/1945	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	16	1175	RNE_0000016
