Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
08048B	M.	Gilles	Bruno	ACTIF	49444		19/07/2002		19/06/2007		48040	19/07/2002		19/06/2007		Député
11089X	Mme	Gillot	Dominique	ANCIEN	45575		01/06/1997		29/08/1999		44171	01/06/1997		29/08/1999		Député
15447F	M.	Ginesta	Jordi	ACTIF	45576		19/06/2002		19/06/2007		44172	19/06/2002		19/06/2007		Député
15447F	M.	Ginesta	Jordi	ACTIF	45577		20/06/2007		19/06/2012		44173	20/06/2007		19/06/2012		Député
15447F	M.	Ginesta	Jordi	ACTIF	45578		20/06/2012		20/06/2017		44174	20/06/2012		20/06/2017		Député
000599	M.	Giraud	Michel	ANCIEN	45589		13/06/1988		01/04/1993		44185	13/06/1988		01/04/1993		Député
000599	M.	Giraud	Michel	ANCIEN	45590		02/04/1993		01/05/1993		44186	02/04/1993		01/05/1993		Député
000599	M.	Giraud	Michel	ANCIEN	45591		25/06/1995		21/04/1997		44187	25/06/1995		21/04/1997		Député
000599	M.	Giraud	Michel	ANCIEN	45592		01/06/1997		18/06/2002		44188	01/06/1997		18/06/2002		Député
000062	M.	Golvan	Victor	ANCIEN	10408			1951		1955	3543					Député
11015D	M.	Gorce	Gaëtan	ANCIEN	45657		19/06/2002		19/06/2007		44253	19/06/2002		19/06/2007		Député
11015D	M.	Gorce	Gaëtan	ANCIEN	45658		01/06/1997		18/06/2002		44254	01/06/1997		18/06/2002		Député
11015D	M.	Gorce	Gaëtan	ANCIEN	45659		20/06/2007		30/09/2011		44255	20/06/2007		30/09/2011		Député
04072J	M.	Goujon	Philippe	ANCIEN	46200		02/05/1993		30/06/1995		44796	02/05/1993		30/06/1995		Député
04072J	M.	Goujon	Philippe	ANCIEN	46201		20/06/2007		19/06/2012		44797	20/06/2007		19/06/2012		Député
04072J	M.	Goujon	Philippe	ANCIEN	46202		20/06/2012		20/06/2017		44798	20/06/2012		20/06/2017		Député
92024Q	M.	Goulet	Daniel	ANCIEN	46206		02/04/1973		01/04/1978		44802	02/04/1973		01/04/1978		Député
92024Q	M.	Goulet	Daniel	ANCIEN	46207		02/07/1981		01/04/1986		44803	02/07/1981		01/04/1986		Député
92024Q	M.	Goulet	Daniel	ANCIEN	46208		03/04/1978		22/05/1981		44804	03/04/1978		22/05/1981		Député
92024Q	M.	Goulet	Daniel	ANCIEN	46209		02/04/1986		14/05/1988		44805	02/04/1986		14/05/1988		Député
92024Q	M.	Goulet	Daniel	ANCIEN	46210		06/06/1988		01/10/1992		44806	06/06/1988		01/10/1992		Député
59230D	Mme	Gournay	Marie-Fanny	ANCIEN	46217		02/04/1993		21/04/1997		44813	02/04/1993		21/04/1997		Député
14211G	M.	Grand	Jean-Pierre	ACTIF	49532		19/06/2002		19/06/2007		48128	19/06/2002		19/06/2007		Député
14211G	M.	Grand	Jean-Pierre	ACTIF	49533		20/06/2007		19/06/2012		48129	20/06/2007		19/06/2012		Député
11049P	M.	Grosdidier	François	ACTIF	46262		19/06/2002		19/06/2007		44858	19/06/2002		19/06/2007		Député
11049P	M.	Grosdidier	François	ACTIF	46263		20/06/2007		30/09/2011		44859	20/06/2007		30/09/2011		Député
11049P	M.	Grosdidier	François	ACTIF	46264		02/04/1993		21/04/1997		44860	02/04/1993		21/04/1997		Député
14123H	M.	Grosperrin	Jacques	ACTIF	49900		20/06/2007		19/06/2012		48496	20/06/2007		19/06/2012		Député
14026U	Mme	Gruny	Pascale	ACTIF	49062		01/05/2004		19/06/2007		47658	01/05/2004		19/06/2007		Député
14026U	Mme	Gruny	Pascale	ACTIF	49063		20/07/2007		15/02/2009		47659	20/07/2007		15/02/2009		Député
14026U	Mme	Gruny	Pascale	ACTIF	49064		15/12/2010		16/06/2012		47660	15/12/2010		16/06/2012		Député
89032Q	M.	Guena	Yves	ANCIEN	45340		03/04/1973		05/05/1973		43936	03/04/1973		05/05/1973		Député
89032Q	M.	Guena	Yves	ANCIEN	45341		06/10/1974		01/04/1978		43937	06/10/1974		01/04/1978		Député
89032Q	M.	Guena	Yves	ANCIEN	45342		06/12/1962		02/04/1967		43938	06/12/1962		02/04/1967		Député
89032Q	M.	Guena	Yves	ANCIEN	45343		02/04/1967		07/05/1967		43939	02/04/1967		07/05/1967		Député
89032Q	M.	Guena	Yves	ANCIEN	45344		11/07/1968		12/08/1968		43940	11/07/1968		12/08/1968		Député
89032Q	M.	Guena	Yves	ANCIEN	45345		03/04/1978		22/05/1981		43941	03/04/1978		22/05/1981		Député
89032Q	M.	Guena	Yves	ANCIEN	45346		02/04/1986		14/05/1988		43942	02/04/1986		14/05/1988		Député
000216	M.	Guille	Georges	ANCIEN	10409					1973	3544					Député
000459	M.	Guillou	Louis	ANCIEN	10410			1946		1951	3545					Député
000721	M.	Guislain	Marcel	ANCIEN	10411			1951		1958	3546					Député
000092	M.	Guyot	Raymond	ANCIEN	10412					1958	3547					Député
000162	M.	Hakiki	Djilali	ANCIEN	10413			1951		1955	3548					Député
86031B	M.	Hamel	Emmanuel	ANCIEN	45419		02/07/1981		01/04/1986		44015	02/07/1981		01/04/1986		Député
000185	M.	Henneguelle	Henri	ANCIEN	10415					1958	3550					Député
95038K	M.	Hérisson	Pierre	ANCIEN	45461		02/05/1993		19/07/1995		44057	02/05/1993		19/07/1995		Député
08027V	M.	Hervé	Edmond	ANCIEN	45484		02/07/1981		23/07/1981		44080	02/07/1981		23/07/1981		Député
08027V	M.	Hervé	Edmond	ANCIEN	45485		02/04/1986		14/05/1988		44081	02/04/1986		14/05/1988		Député
08027V	M.	Hervé	Edmond	ANCIEN	45486		13/06/1988		01/04/1993		44082	13/06/1988		01/04/1993		Député
08027V	M.	Hervé	Edmond	ANCIEN	45487		01/06/1997		18/06/2002		44083	01/06/1997		18/06/2002		Député
04078Q	M.	Hue	Robert	ANCIEN	46536		01/06/1997		18/06/2002		45132	01/06/1997		18/06/2002		Député
92027T	M.	Huguet	Roland	ANCIEN	46538		02/04/1973		01/04/1978		45134	02/04/1973		01/04/1978		Député
92027T	M.	Huguet	Roland	ANCIEN	46539		02/07/1981		01/04/1986		45135	02/07/1981		01/04/1986		Député
92027T	M.	Huguet	Roland	ANCIEN	46540		02/04/1986		14/05/1988		45136	02/04/1986		14/05/1988		Député
92027T	M.	Huguet	Roland	ANCIEN	46541		03/04/1978		22/05/1981		45137	03/04/1978		22/05/1981		Député
92027T	M.	Huguet	Roland	ANCIEN	46542		06/06/1988		01/10/1992		45138	06/06/1988		01/10/1992		Député
04068N	Mme	Hurel	Sandrine	ANCIEN	49446		20/06/2007		19/06/2012		48042	20/06/2007		19/06/2012		Député
04068N	Mme	Hurel	Sandrine	ANCIEN	49447		20/06/2012		27/08/2015		48043	20/06/2012		27/08/2015		Député
95039L	M.	Hyest	Jean-Jacques	ANCIEN	46561		02/04/1986		14/05/1988		45157	02/04/1986		14/05/1988		Député
95039L	M.	Hyest	Jean-Jacques	ANCIEN	46562		02/04/1993		24/09/1995		45158	02/04/1993		24/09/1995		Député
95039L	M.	Hyest	Jean-Jacques	ANCIEN	46563		13/06/1988		01/04/1993		45159	13/06/1988		01/04/1993		Député
000630	M.	Janetti	Maurice	ANCIEN	46634		02/04/1986		14/05/1988		45230	02/04/1986		14/05/1988		Député
000630	M.	Janetti	Maurice	ANCIEN	46635		17/03/1996		21/04/1997		45231	17/03/1996		21/04/1997		Député
000630	M.	Janetti	Maurice	ANCIEN	46636		01/06/1997		22/07/1999		45232	01/06/1997		22/07/1999		Député
59539X	M.	Jarrot	André	ANCIEN	46656		09/12/1958		04/10/1962		45252	09/12/1958		04/10/1962		Député
59539X	M.	Jarrot	André	ANCIEN	46657		06/12/1962		02/04/1967		45253	06/12/1962		02/04/1967		Député
59539X	M.	Jarrot	André	ANCIEN	46658		03/04/1967		30/05/1968		45254	03/04/1967		30/05/1968		Député
59539X	M.	Jarrot	André	ANCIEN	46659		11/07/1968		01/04/1973		45255	11/07/1968		01/04/1973		Député
59539X	M.	Jarrot	André	ANCIEN	46660		03/04/1973		28/06/1974		45256	03/04/1973		28/06/1974		Député
59539X	M.	Jarrot	André	ANCIEN	46661		02/04/1986		30/09/1986		45257	02/04/1986		30/09/1986		Député
59539X	M.	Jarrot	André	ANCIEN	46662		03/04/1978		22/05/1981		45258	03/04/1978		22/05/1981		Député
04037F	M.	Jégou	Jean-Jacques	ANCIEN	46670		02/04/1986		14/05/1988		45266	02/04/1986		14/05/1988		Député
04037F	M.	Jégou	Jean-Jacques	ANCIEN	46671		02/04/1993		21/04/1997		45267	02/04/1993		21/04/1997		Député
04037F	M.	Jégou	Jean-Jacques	ANCIEN	46672		13/06/1988		01/04/1993		45268	13/06/1988		01/04/1993		Député
04037F	M.	Jégou	Jean-Jacques	ANCIEN	46673		01/06/1997		18/06/2002		45269	01/06/1997		18/06/2002		Député
06006G	M.	Josselin	Charles	ANCIEN	46685		02/04/1973		01/04/1978		45281	02/04/1973		01/04/1978		Député
06006G	M.	Josselin	Charles	ANCIEN	46686		02/07/1981		16/12/1985		45282	02/07/1981		16/12/1985		Député
06006G	M.	Josselin	Charles	ANCIEN	46687		02/04/1986		14/05/1988		45283	02/04/1986		14/05/1988		Député
06006G	M.	Josselin	Charles	ANCIEN	46688		06/06/1988		04/05/1992		45284	06/06/1988		04/05/1992		Député
06006G	M.	Josselin	Charles	ANCIEN	46689		02/04/1993		21/04/1997		45285	02/04/1993		21/04/1997		Député
06006G	M.	Josselin	Charles	ANCIEN	46690		01/06/1997		04/07/1997		45286	01/06/1997		04/07/1997		Député
98034T	M.	Journet	Alain	ANCIEN	46692		02/07/1981		01/04/1986		45288	02/07/1981		01/04/1986		Député
98034T	M.	Journet	Alain	ANCIEN	46693		02/04/1986		14/05/1988		45289	02/04/1986		14/05/1988		Député
98034T	M.	Journet	Alain	ANCIEN	46694		13/06/1988		01/04/1993		45290	13/06/1988		01/04/1993		Député
95041E	M.	Joyandet	Alain	ACTIF	46700		19/06/2002		19/06/2007		45296	19/06/2002		19/06/2007		Député
95041E	M.	Joyandet	Alain	ACTIF	46701		20/06/2007		19/04/2008		45297	20/06/2007		19/04/2008		Député
95041E	M.	Joyandet	Alain	ACTIF	46702		05/08/2010		19/06/2012		45298	05/08/2010		19/06/2012		Député
000348	M.	Kauffmann	Michel	ANCIEN	10417			1946		1955	3552					Député
01032M	M.	Labarrère	André	ANCIEN	46781		03/04/1967		30/05/1968		45377	03/04/1967		30/05/1968		Député
01032M	M.	Labarrère	André	ANCIEN	46782		02/04/1973		01/04/1978		45378	02/04/1973		01/04/1978		Député
01032M	M.	Labarrère	André	ANCIEN	46783		02/07/1981		23/07/1981		45379	02/07/1981		23/07/1981		Député
01032M	M.	Labarrère	André	ANCIEN	46784		03/04/1978		22/05/1981		45380	03/04/1978		22/05/1981		Député
01032M	M.	Labarrère	André	ANCIEN	46785		02/04/1986		14/05/1988		45381	02/04/1986		14/05/1988		Député
01032M	M.	Labarrère	André	ANCIEN	46786		13/06/1988		01/04/1993		45382	13/06/1988		01/04/1993		Député
01032M	M.	Labarrère	André	ANCIEN	46787		02/04/1993		21/04/1997		45383	02/04/1993		21/04/1997		Député
01032M	M.	Labarrère	André	ANCIEN	46788		01/06/1997		30/09/2001		45384	01/06/1997		30/09/2001		Député
11112D	M.	Labazée	Georges	ANCIEN	46793		25/07/1981		01/04/1986		45389	25/07/1981		01/04/1986		Député
95042F	M.	Lachenaud	Jean-Philippe	ANCIEN	46810		02/04/1986		14/05/1988		45406	02/04/1986		14/05/1988		Député
95042F	M.	Lachenaud	Jean-Philippe	ANCIEN	46811		13/06/1988		04/04/1992		45407	13/06/1988		04/04/1992		Député
000303	M.	Lanet	Joseph	ANCIEN	10420			1951		1955	3555					Député
95043G	M.	Larifla	Dominique	ANCIEN	47825		13/06/1988		01/04/1993		46421	13/06/1988		01/04/1993		Député
000107	M.	Larue	Tony	ANCIEN	9680			1956		1958	3190					Député
