Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
92017R	M.	Delevoye	Jean-Paul	ANCIEN	6149		11/03/2001	2001			de	Bapaume	2597	17/03/2001	2001			Maire
80015A	M.	Delfau	Gérard	ANCIEN	655			1977	11/03/2001	2001	de 	Saint-André-de-Sangonis	655		1977	11/03/2001	2001	Maire
80015A	M.	Delfau	Gérard	ANCIEN	6100		11/03/2001	2001			de	Saint-André-de-Sangonis	2406	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
80015A	M.	Delfau	Gérard	ANCIEN	6100		11/03/2001	2001			de	Saint-André-de-Sangonis	2682	17/03/2001	2001		2008	Maire
80015A	M.	Delfau	Gérard	ANCIEN	6100		11/03/2001	2001			de	Saint-André-de-Sangonis	11271		2008			Conseiller municipal
59572Y	M.	Delga	François	ANCIEN	10096				22/06/2016	2016		Lautrec	3266			22/06/2016	2016	Maire
000621	M.	Delmas	Lucien	ANCIEN	10097							La Dornac	3267					Maire
19663E	Mme	Delmont-Koropoulis	Annie	ACTIF	51101	30/03/2014	16/03/2008				de	Aulnay-sous-Bois	50384	05/04/2014		01/10/2017		Adjoint au maire
19663E	Mme	Delmont-Koropoulis	Annie	ACTIF	51101	30/03/2014	16/03/2008				de	Aulnay-sous-Bois	50589	16/03/2008		04/04/2014		Conseiller municipal
19663E	Mme	Delmont-Koropoulis	Annie	ACTIF	51101	30/03/2014	16/03/2008				de	Aulnay-sous-Bois	50766	02/10/2017				Conseiller municipal
90004C	M.	Demerliat	Jean-Pierre	ANCIEN	783				11/03/2001	2001	de 	Saint-Martin-le-Vieux	783			11/03/2001	2001	Maire
90004C	M.	Demerliat	Jean-Pierre	ANCIEN	6164		11/03/2001	2001	17/03/2008	2008	de	Saint-Martin-le-Vieux	2464	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
90004C	M.	Demerliat	Jean-Pierre	ANCIEN	6164		11/03/2001	2001	17/03/2008	2008	de	Saint-Martin-le-Vieux	2656	17/03/2001	2001	17/03/2008	2008	Maire
92018S	Mme	Demessine	Michelle	ANCIEN	6646		18/03/2001		01/04/2014		de	Lille	3097	18/03/2001	2001	01/04/2014		Adjoint au maire
95023C	M.	Demilly	Fernand	ANCIEN	10714			1965		1977	d'	Albert	10782		1965		1966	Conseiller municipal
95023C	M.	Demilly	Fernand	ANCIEN	10714			1965		1977	d'	Albert	10783		1966		1971	Adjoint au maire
95023C	M.	Demilly	Fernand	ANCIEN	10714			1965		1977	d'	Albert	10784		1971		1977	Maire
04046G	Mme	Demontès	Christiane	ANCIEN	11068			1989		2005	de	Saint-Priest	11053		1989		2005	Adjoint au maire
04046G	Mme	Demontès	Christiane	ANCIEN	11333		21/03/2008				de	Saint-Fons	11270	21/03/2008	2008	31/03/2014		Maire
04046G	Mme	Demontès	Christiane	ANCIEN	11333		21/03/2008				de	Saint-Fons	13155	01/04/2014				Conseiller municipal
95024D	M.	Demuynck	Christian	ANCIEN	755			1983	11/03/2001	2001	de 	Neuilly-Plaisance	755		1983	11/03/2001	2001	Maire
95024D	M.	Demuynck	Christian	ANCIEN	6054		11/03/2001	2001			de	Neuilly-Plaisance	2352	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95024D	M.	Demuynck	Christian	ANCIEN	6054		11/03/2001	2001			de	Neuilly-Plaisance	2598	17/03/2001	2001			Maire
95025E	M.	Deneux	Marcel	ANCIEN	762				11/03/2001	2001	de 	Beaucamps-le-Vieux	762			11/03/2001	2001	Adjoint au maire
19659J	M.	Dennemont	Michel	ACTIF	51082		31/05/1987		20/10/2017		des	Avirons	50374	31/05/1987		20/10/2017		Maire
97010F	M.	Derian	Jean	ANCIEN	619						de 	Ploufragan	619					Adjoint au maire
98024R	M.	Dériot	Gérard	ACTIF	5101			1977	11/03/2001	2001	de 	Cérilly	2044		1995	11/03/2001	2001	Maire
98024R	M.	Dériot	Gérard	ACTIF	5101			1977	11/03/2001	2001	de 	Cérilly	10775		1977		1995	Adjoint au maire
98024R	M.	Dériot	Gérard	ACTIF	6101		11/03/2001		28/04/2015		de	Cérilly	2407	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98024R	M.	Dériot	Gérard	ACTIF	6101		11/03/2001		28/04/2015		de	Cérilly	2635	17/03/2001	2001	23/03/2001	2001	Maire
98024R	M.	Dériot	Gérard	ACTIF	6101		11/03/2001		28/04/2015		de	Cérilly	2826	23/03/2001	2001	28/04/2015		Adjoint au maire
10006L	Mme	Deroche	Catherine	ACTIF	12040		20/01/1999			2008	de	Bouchemaine	11791	20/01/1999			2008	Maire
97007L	Mme	Derycke	Dinah	ANCIEN	696				11/03/2001	2001	de 	Lys-lez-Lannoy	696			11/03/2001	2001	Conseiller municipal
97007L	Mme	Derycke	Dinah	ANCIEN	6150		11/03/2001	2001	19/01/2002	2002	de	Lys-lez-Lannoy	2451	11/03/2001	2001	19/01/2002	2002	Conseiller municipal
08022Q	Mme	Des Esgaulx	Marie-Hélène	ANCIEN	11567			2006			de	Gujan-Mestras	11462		2006			Maire
08022Q	Mme	Des Esgaulx	Marie-Hélène	ANCIEN	11567			2006			de	Gujan-Mestras	11646		1992		2001	Conseiller municipal
08022Q	Mme	Des Esgaulx	Marie-Hélène	ANCIEN	11567			2006			de	Gujan-Mestras	11647		1983		1992	Adjoint au maire
58670V	M.	Desbriere	Bernard	ANCIEN	10098							Buxy	3268					Conseiller municipal
07028S	Mme	Descamps	Béatrice	ANCIEN	11267			2001			de	Méteren	11185		2001			Maire
000331	M.	Descours Desacres	Jacques	ANCIEN	10099							Ouilly-le-Vicomte	3269					Maire
04067M	M.	Desessard	Jean	ANCIEN	10910			2001	01/03/2006	2006	de	Paris (13ème arrondissement)	10935		2001	01/03/2006	2006	Conseiller de Paris
14217N	Mme	Deseyne	Chantal	ACTIF	14161		20/03/2001				de	Serville	13542	20/03/2001	2001	30/09/2017		Maire
14217N	Mme	Deseyne	Chantal	ACTIF	14161		20/03/2001				de	Serville	50964	01/10/2017				Conseiller municipal
86021Y	M.	Désiré	Rodolphe	ANCIEN	795				11/03/2001	2001	de 	Le Marin	795			11/03/2001	2001	Maire
86021Y	M.	Désiré	Rodolphe	ANCIEN	6160		11/03/2001	2001			de	Le Marin	2461	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
86021Y	M.	Désiré	Rodolphe	ANCIEN	6160		11/03/2001	2001			de	Le Marin	2657	17/03/2001	2001			Maire
01045S	Mme	Desmarescaux	Sylvie	ANCIEN	6478			1977			d'	Hoymille	2966	23/03/2001	2001			Maire
01045S	Mme	Desmarescaux	Sylvie	ANCIEN	6478			1977			d'	Hoymille	2992		1977		1983	Conseiller municipal
01045S	Mme	Desmarescaux	Sylvie	ANCIEN	6478			1977			d'	Hoymille	2993		1983		1995	Adjoint au maire
11113E	M.	Desplan	Félix	ANCIEN	12765		11/03/1971		01/04/2014		de	Pointe-Noire	12875	11/03/1971		17/03/2001	2001	Adjoint au maire
11113E	M.	Desplan	Félix	ANCIEN	12765		11/03/1971		01/04/2014		de	Pointe-Noire	12877	18/03/2001		01/04/2014		Maire
04093P	M.	Detcheverry	Denis	ANCIEN	11023			2001			de	Miquelon-Langlade	11016			21/03/2008	2008	Maire
04093P	M.	Detcheverry	Denis	ANCIEN	11023			2001			de	Miquelon-Langlade	11245	21/03/2008	2008			Conseiller municipal
01024M	M.	Détraigne	Yves	ACTIF	6412			1983			de	Witry-lès-Reims	2939	12/03/1989		22/10/2017		Maire
01024M	M.	Détraigne	Yves	ACTIF	6412			1983			de	Witry-lès-Reims	10788		1983	11/03/1989		Conseiller municipal
01024M	M.	Détraigne	Yves	ACTIF	6412			1983			de	Witry-lès-Reims	50745	23/10/2017				Conseiller municipal
19251M	M.	Devinaz	Gilbert-Luc	ACTIF	51617	19/03/1989	19/03/1989				de	Villeurbanne	51085	19/03/1989		17/07/2017		Adjoint au maire
19251M	M.	Devinaz	Gilbert-Luc	ACTIF	51617	19/03/1989	19/03/1989				de	Villeurbanne	51086	18/07/2017				Conseiller municipal
14215L	Mme	Di Folco	Catherine	ACTIF	14132			2008			de	Messimy	13530		2008	23/10/2017		Maire
14215L	Mme	Di Folco	Catherine	ACTIF	14132			2008			de	Messimy	50795	24/10/2017				Conseiller municipal
01015L	Mme	Didier	Évelyne	ANCIEN	6571			1983	01/04/2014		de	Conflans-en-Jarnisy	3033		1983	20/03/2008	2008	Adjoint au maire
01015L	Mme	Didier	Évelyne	ANCIEN	6571			1983	01/04/2014		de	Conflans-en-Jarnisy	11232	21/03/2008	2008	01/04/2014		Maire
92019T	Mme	Dieulangard	Marie-Madeleine	ANCIEN	670				11/03/2001	2001	de 	Saint-Nazaire	670			11/03/2001	2001	Adjoint au maire
92019T	Mme	Dieulangard	Marie-Madeleine	ANCIEN	6174		11/03/2001	2001			de	Saint-Nazaire	2472	11/03/2001	2001			Conseiller municipal
11051H	M.	Dilain	Claude	ANCIEN	12519			1995	01/10/2011	2011	de	Clichy-sous-Bois	12742		1995	01/10/2011	2011	Maire
65017N	M.	Diligent	André	ANCIEN	695				11/03/2001	2001	de 	Roubaix	695			11/03/2001	2001	Conseiller municipal
19577H	Mme	Dindar	Nassimah	ACTIF	51095	18/03/2001	18/03/2001		18/03/2015		de	Saint-Denis	50383	18/03/2001		18/03/2015		Adjoint au maire
04051D	Mme	Dini	Muguette	ANCIEN	10848			1977		1995	d'	Ecully	10896		1977		1989	Conseiller municipal
04051D	Mme	Dini	Muguette	ANCIEN	10848			1977		1995	d'	Ecully	10898		1989		1995	Adjoint au maire
14042U	Mme	Doineau	Élisabeth	ACTIF	14371			1995		2008	de	La Rouaudière	13670		1995		2008	Maire
01027Q	M.	Doligé	Éric	ANCIEN	11892			1983		2001	de	Meung-sur-Loire	11702		1983		2001	Maire
98030P	M.	Domeizel	Claude	ANCIEN	5124		21/03/1971		11/03/2001	2001	de 	Volx	2056			11/03/2001	2001	Maire
98030P	M.	Domeizel	Claude	ANCIEN	6184		11/03/2001	2001			de	Volx	2481	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
98030P	M.	Domeizel	Claude	ANCIEN	6184		11/03/2001	2001			de	Volx	2658	17/03/2001	2001	21/03/2008		Maire
98030P	M.	Domeizel	Claude	ANCIEN	6184		11/03/2001	2001			de	Volx	11302	21/03/2008				Conseiller municipal
95026F	M.	Dominati	Jacques	ANCIEN	708				11/03/2001	2001	de 	Paris	708			11/03/2001	2001	Adjoint au maire
04071H	M.	Dominati	Philippe	ACTIF	10917			1983	16/03/2008	2008	de	Paris (8ème arrondissement)	10941		1983	16/03/2008	2008	Conseiller d'arrondissement
99001N	M.	Donnay	Jacques	ANCIEN	5822			1983		1995	de	Lille	2177		1983		1995	Conseiller municipal
89014N	M.	Doublet	Michel	ANCIEN	609				11/03/2001	2001	de 	Trizay	609			11/03/2001	2001	Maire
89014N	M.	Doublet	Michel	ANCIEN	6103		11/03/2001	2001			de	Trizay	2408	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
89014N	M.	Doublet	Michel	ANCIEN	6103		11/03/2001	2001			de	Trizay	2599	17/03/2001	2001			Maire
80017C	M.	Dreyfus-Schmidt	Michel	ANCIEN	597				11/03/2001	2001	de 	Belfort	597			11/03/2001	2001	Conseiller municipal
80017C	M.	Dreyfus-Schmidt	Michel	ANCIEN	6206		18/03/2001	2001	21/03/2008	2008	de	Belfort	2545	18/03/2001	2001	21/03/2008	2008	Conseiller municipal
77043E	M.	du Luart	Roland	ANCIEN	739				11/03/2001	2001	de 	Le Luart	739			11/03/2001	2001	Maire
77043E	M.	du Luart	Roland	ANCIEN	6076		11/03/2001	2001			de	Le Luart	2373	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
77043E	M.	du Luart	Roland	ANCIEN	6076		11/03/2001	2001			de	Le Luart	2707	17/03/2001	2001	23/03/2001	2001	Maire
77043E	M.	du Luart	Roland	ANCIEN	6076		11/03/2001	2001			de	Le Luart	2804	23/03/2001	2001			Adjoint au maire
58330C	M.	Dubanchet	François	ANCIEN	10100				26/03/2019			Saint-Etienne	3270			26/03/2019		Maire
04089T	M.	Dubois	Daniel	ACTIF	11891			1989		2004	d'	Oneux	11701		1989		2004	Maire
59227J	M.	Duboscq	Franz	ANCIEN	10101				07/12/2012	2012		Aroue-Ithorots-Olhaïby	3271			07/12/2012	2012	Maire
99003Q	M.	Dubrule	Paul	ANCIEN	5841				11/03/2001	2001	de	Fontainebleau	2192			11/03/2001	2001	Maire
99003Q	M.	Dubrule	Paul	ANCIEN	6243		18/03/2001	2001	25/03/2001	2001	de	Fontainebleau	2586	18/03/2001	2001	25/03/2001	2001	Conseiller municipal
11091R	Mme	Duchêne	Marie-Annick	ANCIEN	12386		31/03/1983			2014	de	Versailles	12471	18/06/1995			2014	Adjoint au maire
11091R	Mme	Duchêne	Marie-Annick	ANCIEN	12386		31/03/1983			2014	de	Versailles	12956	31/03/1983		17/06/1995		Conseiller municipal
87003B	M.	Dufaut	Alain	ACTIF	6207		18/06/1995			2004	d'	Avignon	2895	23/03/2001			2004	Conseiller municipal
87003B	M.	Dufaut	Alain	ACTIF	6207		18/06/1995			2004	d'	Avignon	11355	18/06/1995	1995	23/03/2001	2001	Premier adjoint au maire
000164	M.	Duffaut	Henri	ANCIEN	10102							Avignon	3272					Conseiller municipal
97003G	M.	Duffour	Michel	ANCIEN	649						de 	Nanterre	649					Conseiller municipal
95027G	M.	Dugoin	Xavier	ANCIEN	628				13/12/2000	2000	de 	Mennecy	628			13/12/2000	2000	Maire
95028H	M.	Dulait	André	ANCIEN	761			1983	11/03/2001	2001	de 	Ménigoute	761		1983	11/03/2001	2001	Maire
95028H	M.	Dulait	André	ANCIEN	6056		11/03/2001	2001	16/03/2008	2008	de	Ménigoute	2354	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95028H	M.	Dulait	André	ANCIEN	6056		11/03/2001	2001	16/03/2008	2008	de	Ménigoute	2636	17/03/2001	2001	16/03/2008	2008	Maire
07033P	Mme	Dumas	Catherine	ACTIF	11301		01/06/1995	1995			de 	Paris (17ème arrondissement)	11209	01/06/1995	1995			Conseiller de Paris
19507S	M.	Duplomb	Laurent	ACTIF	50880		18/03/2001				de	Saint-Paulien	50180	02/08/2010		24/10/2017		Maire
19507S	M.	Duplomb	Laurent	ACTIF	50880		18/03/2001				de	Saint-Paulien	50371	16/03/2008		01/08/2010		Adjoint au maire
19507S	M.	Duplomb	Laurent	ACTIF	50880		18/03/2001				de	Saint-Paulien	50372	18/03/2001		15/03/2008		Conseiller municipal
19507S	M.	Duplomb	Laurent	ACTIF	50880		18/03/2001				de	Saint-Paulien	50849	25/10/2017				Conseiller municipal
89007P	M.	Dupont	Ambroise	ANCIEN	604				11/03/2001	2001	de 	Victot-Pontfol	604			11/03/2001	2001	Maire
