ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA381810	M.	Jean-Claude	Danglot	1950-09-20							
PA382672	Mme	Nathalie	Goulet	1958-05-24							
PA384	M.	Jacques	Bascou	1953-03-31		Castelnaudary	Aude		Cadre territorial	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA390	Mme	Sylvia	Bassot	1940-12-18	2014-01-03	Paris	Paris		Sans profession déclarée	Sans profession déclarée	Sans profession déclarée
PA391504	Mme	Jacqueline	Panis	1948-04-16							
PA391505	Mme	Brigitte	Gonthier-Maurin	1956-04-23							
PA392735	M.	Jacques	Muller	1954-10-30							
PA392736	Mme	Béatrice	Descamps	1951-06-22							
PA394	M.	Christian	Bataille	1946-05-13		Rieux-en-Cambrésis	Nord	France	Professeur de lettres	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA394676	M.	Marc	Laménie	1956-07-11							
PA395	M.	Jean-Claude	Bateux	1939-05-26		Mont-Saint-Aignan	Seine-Maritime		Professeur retraité	Anciens cadres et professions intermédiaires	Retraités
PA400	M.	Jacques	Baudot	1936-03-09	2007-06-21						
PA404073	M.	Louis	Pinton	1948-10-24	2016-11-17						
PA404656	Mme	Catherine	Dumas	1957-07-13							
PA405480	M.	François	Pupponi	1962-07-31		Nantua	Ain	France	Administrateur des Finances publiques adjoint	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA406065	M.	François	Pillet	1950-05-13							
PA408	M.	Jean-Michel	Baylet	1946-11-17		Toulouse	Haute-Garonne		Directeur de journal		
PA408269	Mme	Françoise	Vallet	1949-06-03		Luisant	Eure-et-Loir	France	Retraitée de l'Education nationale	Anciens cadres et professions intermédiaires	Retraités
PA410	M.	François	Bayrou	1951-05-25		Bordères	Pyrénées-Atlantiques	France	Professeur agrégé de lettres	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA412	M.	Jean-Claude	Beauchaud	1936-09-21		Gond-Pontouvre	Charente		Professeur retraité	Anciens cadres et professions intermédiaires	Retraités
PA412525	M.	Dominique	Souchet	1946-07-09		La Rochelle	Charente-Maritime	France	Conseiller des affaires étrangères hors classe (en détachement)	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA412876	M.	Elie	Brun	1948-10-15							
PA414	M.	Patrick	Beaudouin	1953-04-07		Brionne	Eure	France	Consultant en communication et relations publiques	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA415254	M.	Yves	Ackermann	1949-06-01							
PA415446	M.	Hervé	Maurey	1961-05-07							
PA415447	M.	Antoine	Lefèvre	1966-02-18							
PA415448	M.	Albéric	de Montgolfier	1964-07-06							
PA415449	M.	Jean-Jacques	Lozach	1954-02-08							
PA415450	Mme	Jacqueline	Chevé	1961-08-21	2010-03-15						
PA415451	M.	Daniel	Laurent	1949-02-04							
PA415452	M.	Didier	Guillaume	1959-05-11							
PA415453	Mme	Claudine	Lepage	1949-08-10							
PA415454	M.	Christophe-André	Frassa	1968-02-04							
PA415455	M.	Michel	Magras	1954-01-06							
PA415456	Mme	Marie-Thérèse	Bruguière	1942-10-26							
PA415457	M.	Robert	Navarro	1952-05-01							
PA415458	M.	Louis-Constant	Fleming	1946-12-01							
PA415459	Mme	Françoise	Cartron	1949-03-27							
PA415460	M.	Alain	Anziani	1951-05-30							
PA415461	Mme	Isabelle	Pasquet	1962-03-08							
PA415462	M.	Alain	Chatillon	1943-03-15							
PA415463	M.	Roland	Povinelli	1941-08-09							
PA415464	Mme	Françoise	Laborde	1958-07-08							
PA415465	Mme	Virginie	Klès	1961-08-18							
PA415466	M.	Jean-Jacques	Mirassou	1952-11-01							
PA415467	M.	Dominique	de Legge	1952-02-18							
PA415468	Mme	Samia	Ghali	1968-06-10							
PA415469	M.	René	Vestri	1938-10-25	2013-02-06						
PA415470	M.	Jacky	Le Menn	1941-03-17							
PA415471	M.	Marc	Daunis	1955-04-22							
PA415472	M.	Serge	Andreoni	1940-03-15							
PA415473	Mme	Colette	Giudicelli	1943-11-24							
PA415474	M.	Louis	Nègre	1947-02-08							
PA415475	Mme	Maryvonne	Blondin	1947-01-20							
PA415476	Mme	Sophie	Joissains	1969-10-25							
PA415477	M.	Jean-Luc	Fichet	1953-07-15							
PA415478	M.	René	Teulade	1931-06-17	2014-02-13						
PA415479	M.	Philippe	Paul	1965-01-25							
PA415480	M.	Raymond	Vall	1942-01-13							
PA415481	Mme	Bernadette	Bourzai	1945-05-28							
PA415482	M.	Jacques	Mézard	1947-12-03							
PA415483	M.	Yves	Daudigny	1947-02-23							
PA415484	M.	Rachel	Mazuir	1940-02-12							
PA415485	M.	Claude	Bérit-Débat	1946-02-19							
